X,Y,Area
189741.342330041,2583330.90676084,2131.952200000000175
189686.398112592,2583388.09663409,374.983000000000004
189435.851294608,2583378.01198573,12384.637199999999211
189688.417166491,2582555.24344316,3210.642400000000180
189775.804871681,2582680.2889601,1964.640100000000075
189800.566145887,2582684.99335629,243.090000000000003
189552.153142924,2582667.9865587,9840.322700000000623
189569.183653001,2582522.1642835,162.812299999999993
189580.655431054,2582499.72362054,135.754999999999995
190175.701884696,2583781.33596862,2620.114099999999780
190126.154707367,2583675.9620588,548.874900000000025
190127.168473218,2583694.1080003,459.197499999999991
190113.311012251,2583708.0408716,167.495900000000006
190159.814998763,2583754.80372502,138.949299999999994
190140.05657691,2583705.68111148,879.350099999999998
190171.36088809,2583730.20015897,1503.414700000000039
189990.18488059,2583982.65578421,2124.661500000000160
189953.793937454,2583861.94319202,938.528699999999958
189990.885514836,2583959.30871425,2123.607100000000173
189990.463175013,2583936.4269218,2124.835599999999886
188369.512294069,2584178.29818581,2437.110000000000127
188397.374258018,2584166.55959777,2217.471900000000005
188500.531277057,2583077.27756165,1810.531899999999951
190613.220468392,2584041.21541915,697.907900000000041
190893.180041698,2584400.28537691,2030.997900000000072
190554.412590383,2584095.68463923,2194.791499999999814
190388.844039139,2584405.16064993,3782.082399999999780
190329.016619768,2584320.2234935,1579.076099999999997
190395.511781925,2583783.62552454,2690.389700000000175
190382.00498077,2583816.41817725,882.703800000000001
191914.596443878,2584382.40601516,2784.577299999999923
191848.026009982,2583789.92414547,2487.681000000000040
191267.253666481,2583720.38016573,7514.808899999999994
190993.70743023,2583739.31532767,3352.239199999999983
190969.441889732,2583744.90407906,933.743699999999990
190860.578486409,2583863.91013502,3625.114399999999932
190044.549666667,2584683.35133333,1360.798000000000002
189606.192555495,2584622.02003916,5566.010500000000320
189974.548,2584619.754,2006.031300000000101
189992.048,2584619.6545,1504.522999999999911
190012.04774663,2584619.54016569,2507.489300000000185
190105.525996366,2584618.86273663,1801.820699999999988
190124.875175429,2584616.07094564,1986.509399999999914
190329.705515815,2584510.67774604,1902.029199999999946
190258.135991698,2584511.08575737,1004.015599999999949
190156.30234837,2584511.89048281,2836.631499999999960
190067.591489259,2584512.17175574,1295.019600000000082
189996.616479193,2584512.57625306,2500.038300000000163
189974.116753772,2584512.70491664,1999.990600000000086
189954.238712519,2584513.06530565,1975.986599999999953
189944.027456962,2584507.90178297,61.252499999999998
189921.089193362,2584550.63402825,427.366199999999992
189920.919337541,2584525.28470935,427.122599999999977
189920.75109404,2584500.18601773,428.445299999999975
189920.584599684,2584475.33726928,427.898099999999999
189887.318743687,2584513.39890243,1405.563799999999901
189815.3195,2584513.81,3012.029399999999896
189919.618821448,2584447.41852496,477.295900000000017
189919.556301846,2584422.40233868,476.917599999999993
189919.441215183,2584397.26975572,475.804300000000012
189919.382777537,2584372.04452692,475.602599999999995
190045.360458621,2584302.90039158,2478.692900000000009
189882.126396654,2584303.54230309,1502.709299999999985
189802.091981029,2584303.98175864,2309.956000000000131
189876.563584635,2584199.82075738,2327.929299999999785
190028.632861262,2584199.50938475,3008.484800000000178
189771.982122822,2584126.1333344,1599.866400000000112
189794.907611962,2584091.67149537,1586.106600000000071
189815.611782863,2584057.39111494,1649.783699999999953
189832.389168293,2584029.58933603,1046.180100000000039
190539.676409228,2585777.20700421,2375.207199999999830
190849.357994208,2585229.58388884,1605.040700000000015
