latitude,longitude,altitude,geometry,stop_id,stop_name,capacity,category
25.0385,121.51288,,Point,U106086,臺北市第一女子高級中學,17,中
25.01808,121.5275,,Point,U106087,台北市替代役中心,15,高
25.04051,121.52401,,Point,U106088,紹興徐州路口,18,高
25.03145,121.51941,,Point,U106089,羅斯福寧波東街口,20,中
25.01328,121.53004,,Point,U106090,自來水園區,30,中
25.03895,121.52233,,Point,U106091,仁愛林森路口,20,中
25.04178,121.50869,,Point,U106092,捷運西門站(3號出口),36,高
25.0384,121.52801,,Point,U106093,仁愛金山路口,9,中
25.03746,121.52799,,Point,U106094,杭州南路一段101巷口,14,中
25.03846,121.52497,,Point,U106095,仁愛杭州路口,15,高
25.02815,121.51108,,Point,U106096,龍興里活動中心,21,中
25.0299,121.51033,,Point,U106097,植物園,22,高
25.03158,121.51464,,Point,U106098,郵政博物館,20,高
25.04659,121.52377,,Point,U106099,林森北平路口,20,中
25.04597,121.52579,,Point,U106100,北平紹興路口,15,中
25.04692,121.52208,,Point,U106101,天津北平路口,15,高
25.04272,121.53207,,Point,U106102,捷運忠孝新生站(1號出口),19,中
25.04113,121.53273,,Point,U106103,捷運忠孝新生站(5號出口),13,中
25.04074,121.51586,,Point,U106104,捷運臺大醫院站(1號出口),19,中
25.04461,121.5188,,Point,U106105,臺大醫院兒童醫院,22,中
25.0425,121.5227,,Point,U106106,林森濟南路口(東北側),15,中
25.03837,121.52345,,Point,U106107,仁愛紹興街口(南側),17,中
25.02703,121.50686,,Point,U106108,中華南海路口,15,高
25.03371,121.51068,,Point,U106109,立法院台北會館,15,高
25.04467,121.52357,,Point,U106110,捷運善導寺站(3號出口)(忠孝東路側),17,中
25.03788,121.51904,,Point,U106111,國家音樂廳,22,中
25.04724,121.51272,,Point,U106112,忠孝西重慶南路口,33,高
25.04127,121.52697,,Point,U106113,濟南路二段8巷口,15,高
25.03811,121.52855,,Point,U106114,仁愛金山路口(東南側),14,中
25.04148,121.5287,,Point,U106115,臺灣文學基地,15,高
25.02507,121.51645,,Point,U106116,重慶南詔安街口,15,中
25.03898,121.53058,,Point,U106117,文光公園,17,高
25.03212,121.51861,,Point,U106118,捷運中正紀念堂站(2號出口),12,中
25.02484,121.51973,,Point,U106119,螢圃里小公園,19,中
25.02682,121.51737,,Point,U106120,螢橋公園,15,中
25.02965,121.51415,,Point,U106121,泉州寧波西街口,30,高
25.08251,121.54004,,Point,U107001,通北街65巷口,16,高
25.07805,121.5295,,Point,U107002,圓山風景區,15,高
25.0803,121.56251,,Point,U107003,樂群二堤頂大道口,20,中
25.08524,121.53748,,Point,U107004,劍潭社區,13,中
25.08258,121.54462,,Point,U107005,培英公園,30,高
25.08009,121.55226,,Point,U107006,樂群二明水路口,20,高
25.08474,121.54968,,Point,U107007,北安大直街口,15,高
25.08401,121.55535,,Point,U107008,捷運劍南路站(2號出口),86,高
25.07985,121.55609,,Point,U107009,樂群二敬業三路口,20,中
25.07976,121.55813,,Point,U107010,樂群二敬業四路口,36,高
25.07923,121.5473,,Point,U107011,捷運大直站(3號出口),34,高
25.04585,121.54375,,Point,U107012,復興市民路口,45,高
25.05176,121.54217,,Point,U107013,南京遼寧街口,34,中
25.04833,121.53469,,Point,U107014,伊通長安路口,21,高
25.04861,121.52935,,Point,U107015,新生長安路口,20,中
25.04796,121.52439,,Point,U107016,市民林森路口,29,高
25.05194,121.52766,,Point,U107017,南京新生路口,30,高
25.05316,121.53146,,Point,U107018,一江公園,22,中
25.05025,121.53273,,Point,U107019,松江公園,25,中
25.05639,121.52752,,Point,U107020,新生長春路口,20,中
25.06642,121.53735,,Point,U107021,第二果菜批發市場,28,高
25.05778,121.53692,,Point,U107022,民生建國路口,26,高
25.05606,121.54175,,Point,U107023,興安華城,62,高
25.06106,121.54406,,Point,U107024,捷運中山國中站,62,高
25.06045,121.54077,,Point,U107025,龍江錦州街口,16,高
25.05469,121.53686,,Point,U107026,建國長春路口,16,高
25.05214,121.5368,,Point,U107027,南京建國路口,42,高
25.05246,121.5332,,Point,U107028,捷運松江南京站(7號出口),75,高
25.04762,121.54043,,Point,U107029,朱崙商場,31,高
25.05604,121.53166,,Point,U107030,中吉公園,15,高
25.0471,121.5277,,Point,U107031,華山公園,19,高
25.04699,121.53735,,Point,U107032,建國北路一段17巷,45,高
25.0614,121.53929,,Point,U107033,江寧公園,15,高
25.06225,121.54107,,Point,U107034,民權龍江路口,32,高
25.06246,121.52705,,Point,U107035,捷運中山國小站(2號出口),59,中
25.05992,121.5333,,Point,U107036,捷運行天宮站(3號出口),42,中
25.06531,121.52565,,Point,U107037,林森農安街口,17,高
25.06283,121.52697,,Point,U107038,捷運中山國小站(4號出口),20,中
25.06491,121.52449,,Point,U107039,農安雙城街口,15,高
25.06652,121.52762,,Point,U107040,新生德惠街口,15,中
25.06847,121.52559,,Point,U107041,民族林森路口,20,高
25.06987,121.52291,,Point,U107042,臺北市立美術館,24,中
25.06816,121.52265,,Point,U107043,中山民族路口,16,高
25.04983,121.52853,,Point,U107044,新生高架停車場(林森北路107巷口),14,中
25.05201,121.52556,,Point,U107045,南京林森路口(東南側),10,中
25.05337,121.5289,,Point,U107046,仁德公園,18,高
25.05583,121.52821,,Point,U107047,中原公園,15,中
25.06682,121.54213,,Point,U107048,下埤公園,24,高
25.06505,121.54366,,Point,U107049,五常國中,16,高
25.06424,121.54037,,Point,U107050,榮星花園,38,高
25.06251,121.53765,,Point,U107051,民權建國路口,34,高
25.06585,121.53338,,Point,U107052,松江路431巷口,15,中
25.06533,121.53177,,Point,U107053,新喜公園,13,中
25.06595,121.53041,,Point,U107054,吉林路407巷口,15,高
25.06833,121.5328,,Point,U107055,民族松江路口,17,高
25.07154,121.53058,,Point,U107056,林安泰古厝,22,高
25.06185,121.5226,,Point,U107057,中山公民會館,20,中
25.04573,121.53508,,Point,U107058,渭水八德路口,23,中
25.05228,121.52176,,Point,U107059,捷運中山站(2號出口),33,高
25.06416,121.52203,,Point,U107060,撫順公園,20,中
25.06839,121.53032,,Point,U107061,新生公園,16,高
25.05867,121.53305,,Point,U107062,捷運行天宮站(1號出口),46,中
25.05497,121.52536,,Point,U107063,林森長春路口,28,高
25.06503,121.53678,,Point,U107064,建國農安街口,35,高
25.04985,121.53312,,Point,U107065,松江路77巷口,10,中
25.04836,121.53669,,Point,U107066,建國長安路口,20,高
25.04611,121.53193,,Point,U107067,市民新生路口,15,中
25.06269,121.53061,,Point,U107068,民權吉林路口,15,高
25.0651,121.5224,,Point,U107069,中山農安街口,17,高
25.05575,121.52168,,Point,U107070,捷運行政大樓,14,中
25.0568,121.53191,,Point,U107071,中吉公園(松江路188巷),22,中
25.05731,121.53021,,Point,U107072,吉林路123巷口,13,高
25.05808,121.52887,,Point,U107074,中原民生路口,15,高
25.05794,121.54244,,Point,U107075,國立臺北大學(臺北校區),38,高
25.06028,121.52991,,Point,U107076,錦州吉林路口,20,高
25.05606,121.5229,,Point,U107077,中山北路二段59巷口,12,中
25.05873,121.52488,,Point,U107078,永盛公園(民生東路一段23巷),24,高
25.05955,121.52744,,Point,U107079,新生錦州街口,20,中
25.0734,121.53985,,Point,U107080,濱江街199巷口,15,中
25.07275,121.5373,,Point,U107081,大佳社區公園,15,高
25.06807,121.53673,,Point,U107082,濱江果菜市場,22,高
25.05619,121.53949,,Point,U107083,興安合江路口,19,中
25.06597,121.54117,,Point,U107084,復興北路514巷口東側,10,中
25.06142,121.52305,,Point,U107085,台泥大樓,18,高
25.08303,121.5604,,Point,U107086,植福樂群路口,10,中
25.06157,121.52439,,Point,U107087,新興公園,20,高
25.05189,121.53517,,Point,U107088,南京伊通街口,11,中
25.05205,121.54012,,Point,U107089,南京龍江路口,15,中
25.06389,121.51916,,Point,U107090,撫順街41巷(崇德宮前),19,高
25.08152,121.54646,,Point,U107091,臺北市立圖書館大直分館,20,高
25.0801,121.54708,,Point,U107092,捷運大直站(1號出口),27,高
25.0512,121.53312,,Point,U107093,捷運松江南京站(4號出口),32,中
25.07864,121.55557,,Point,U107095,中429公園,15,高
25.05791,121.53114,,Point,U107096,長春路137巷口,16,中
25.05765,121.53299,,Point,U107097,松江民生路口,17,中
25.05277,121.53013,,Point,U107098,松江路132巷口,14,中
25.05481,121.53032,,Point,U107099,長春吉林路口,10,中
25.05488,121.53142,,Point,U107100,長春一江街口,11,中
25.05215,121.53276,,Point,U107101,捷運松江南京站(8號出口),20,中
25.05215,121.53171,,Point,U107102,南京一江街口,10,中
25.05499,121.53295,,Point,U107103,松江長春路口,16,中
25.07802,121.53511,,Point,U107104,經國七海文化園區,15,高
25.06873,121.52003,,Point,U107105,民族玉門街口,20,中
25.06493,121.52778,,Point,U107106,新生農安街口,15,中
25.06532,121.52848,,Point,U107107,稻江高級護理家事職業學校,14,中
25.07934,121.54671,,Point,U107108,捷運大直站(3號出口),18,中
25.07983,121.55236,,Point,U107109,樂群二明水路口,20,高
25.06245,121.53014,,Point,U107110,民權吉林路口(南側),16,高
25.05473,121.54026,,Point,U107111,長春龍江路口,24,高
25.06305,121.52776,,Point,U107112,民權新生路口,26,中
25.05476,121.53693,,Point,U107113,建國長春路口(北側),20,高
25.06432,121.53349,,Point,U107114,中山行政中心,24,高
25.07063,121.52327,,Point,U107115,臺北市立美術館,18,高
25.08476,121.53789,,Point,U107116,劍潭社區,18,高
25.07818,121.56175,,Point,U107117,濱江國小游泳池,16,高
25.05223,121.52581,,Point,U107118,林森公園,25,高
25.07825,121.55337,,Point,U107119,中428公園,15,中
25.05339,121.5401,,Point,U107120,復華公園,20,高
25.06819,121.52767,,Point,U107121,新生民族路口(西南側),15,中
25.05253,121.54256,,Point,U107122,捷運南京復興站(1號出口),21,中
25.04478,121.53661,,Point,U107123,八德市場(北側),16,中
25.05004,121.54043,,Point,U107124,龍江朱崙街口,14,高
25.08431,121.54755,,Point,U107125,大直街94巷,15,中
25.05196,121.5433,,Point,U107126,捷運南京復興站(8號出口),25,中
25.06228,121.53702,,Point,U107127,民權建國路口(南側),15,中
25.06688,121.5257,,Point,U107128,林森德惠街口,16,高
25.07059,121.52812,,Point,U107129,新生濱江街口(東南側),21,高
25.04699,121.53075,,Point,U107130,新生北路一段62巷口,20,中
25.05532,121.52769,,Point,U107131,新生長春路口(東北側),19,中
25.08519,121.55498,,Point,U107132,捷運劍南路站(1號出口),21,高
25.08272,121.55624,,Point,U107133,敬業三樂群三路口(西北側),16,中
25.05427,121.53896,,Point,U107134,長春路258巷2弄口,15,中
25.05418,121.54332,,Point,U107135,長寧大廈社區(南側),15,中
25.06419,121.53732,,Point,U107136,建國五常街口,20,高
25.05676,121.52268,,Point,U107137,中山北路二段62巷口,12,中
25.0448,121.54213,,Point,U107138,市民安東街口,20,中
25.04812,121.52166,,Point,U107139,市民大道二段5巷口,15,高
25.05236,121.52212,,Point,U107140,捷運中山站(3號出口),21,中
25.09122,121.55961,,Point,U108001,文湖街21巷118弄口,19,高
25.08378,121.56208,,Point,U108002,北勢湖環保公園,15,中
25.07977,121.56454,,Point,U108003,洲子一號公園,43,高
25.08284,121.56449,,Point,U108004,西康公園,16,中
25.08637,121.56088,,Point,U108005,文湖國小,31,高
25.08707,121.56406,,Point,U108006,文湖街81巷10號西側,14,中
25.08637,121.56574,,Point,U108007,德明財經科技大學,27,中
25.08311,121.57155,,Point,U108008,麗山國小,15,高
25.08398,121.57725,,Point,U108009,麗山高中,25,中
25.08522,121.57462,,Point,U108010,港華五號公園,16,中
25.08803,121.59958,,Point,U108011,大湖國小,25,中
25.07021,121.61593,,Point,U108012,安湖三號公園,12,中
25.07177,121.61491,,Point,U108013,東湖路113巷95弄,10,中
25.0745,121.57389,,Point,U108014,瑞光計程車服務站,20,中
25.07524,121.5772,,Point,U108015,文德三號公園(江南街71巷16弄),15,中
25.08395,121.60185,,Point,U108016,捷運大湖公園站(2號出口),28,高
25.07958,121.59336,,Point,U108018,康寧星雲街口,12,中
25.07864,121.59177,,Point,U108019,星雲街47號,15,中
25.08301,121.56638,,Point,U108020,捷運西湖站(1號出口),35,中
25.08205,121.56716,,Point,U108021,捷運西湖站(2號出口),12,中
25.07932,121.56869,,Point,U108022,洲子二號公園,60,高
25.08296,121.5752,,Point,U108023,港都公園,15,中
25.08598,121.572,,Point,U108024,環山路二段26巷口,29,中
25.08436,121.59478,,Point,U108025,成功金龍路口,23,高
25.0878,121.59227,,Point,U108026,碧山公園,31,高
25.08785,121.5879,,Point,U108027,金瑞公園,20,高
25.07842,121.58464,,Point,U108028,捷運文德站(2號出口),49,高
25.07695,121.58764,,Point,U108029,陽光公園,16,高
25.07504,121.58375,,Point,U108030,文德二號公園(南側),13,中
25.07758,121.58381,,Point,U108031,文德二號公園(北側),15,中
25.07777,121.57961,,Point,U108032,瑞陽公園,12,中
25.07538,121.58079,,Point,U108033,湖光國宅,22,高
25.05575,121.58486,,Point,U108034,潭美街213號,12,高
25.0559,121.57991,,Point,U108035,南京東路六段180號,21,高
25.05768,121.58159,,Point,U108036,潭美國小(南京舊宗路口),16,中
25.05653,121.58345,,Point,U108037,新明路343號,10,高
25.0539,121.58084,,Point,U108038,週美里活動廣場,17,高
25.06915,121.58898,,Point,U108039,內湖行政中心,25,高
25.07007,121.62055,,Point,U108040,樂康公園,20,高
25.06181,121.59447,,Point,U108041,安康路32巷24弄,21,中
25.06256,121.58607,,Point,U108043,明美公園,18,中
25.05827,121.58707,,Point,U108044,南京東路六段368巷,33,高
25.06058,121.5911,,Point,U108045,新明成功路口,18,高
25.06835,121.58323,,Point,U108046,民權瑞光路口,20,高
25.07335,121.57951,,Point,U108047,瑞光公共住宅(瑞光路),18,中
25.06853,121.57813,,Point,U108048,民權東路六段15巷,17,高
25.06709,121.58002,,Point,U108049,扶輪親恩公園,17,中
25.06286,121.57497,,Point,U108050,新湖三民善街口,15,高
25.05594,121.57865,,Point,U108051,內湖119號綠地,24,高
25.05301,121.57592,,Point,U108052,行善公園,20,高
25.07151,121.58991,,Point,U108054,三軍總醫院,14,高
25.06877,121.59265,,Point,U108055,福華商場,20,高
25.0674,121.59749,,Point,U108056,臺北市網球中心,16,高
25.07249,121.60796,,Point,U108057,捷運葫洲站(1號出口),25,高
25.07332,121.60223,,Point,U108058,麗湖國小,18,高
25.0733,121.59834,,Point,U108059,金湖路347巷125弄口,15,中
25.07988,121.58287,,Point,U108060,碧湖公園,15,中
25.08317,121.58109,,Point,U108061,碧湖公園(內湖路二段103巷),19,中
25.08357,121.58534,,Point,U108062,貿七社區,17,中
25.08165,121.58891,,Point,U108063,內湖區農會,12,中
25.0835,121.59454,,Point,U108064,捷運內湖站(2號出口),10,中
25.07896,121.59921,,Point,U108065,康寧金湖路口,14,高
25.07792,121.59354,,Point,U108066,康寧路一段156巷20弄口,17,中
25.06657,121.6136,,Point,U108067,安康公園,19,高
25.07669,121.61709,,Point,U108068,安泰街83巷,20,高
25.08722,121.62306,,Point,U108069,內溝溪生態展示館,8,高
25.07967,121.57584,,Point,U108070,捷運港墘站(2號出口),47,中
25.07334,121.61962,,Point,U108071,東湖國中,16,高
25.06261,121.59334,,Point,U108072,石潭公園(安康路),20,高
25.06209,121.60347,,Point,U108073,內湖垃圾焚化廠,20,高
25.06927,121.61019,,Point,U108074,康寧公園(北側),20,高
25.0716,121.60936,,Point,U108075,康寧路三段54巷口,15,高
25.05707,121.57658,,Point,U108076,行善路25巷口,21,高
25.05503,121.57823,,Point,U108077,新明路460巷口,15,高
25.06516,121.59561,,Point,U108078,下灣公園,16,高
25.06708,121.60059,,Point,U108079,民權東路六段245巷口,12,高
25.06854,121.61532,,Point,U108081,東湖國小,22,高
25.08373,121.59406,,Point,U108082,捷運內湖站(1號出口),28,高
25.07611,121.57487,,Point,U108083,瑞光港墘路口,15,中
25.07296,121.57603,,Point,U108084,瑞湖陽光街口,25,中
25.08554,121.59076,,Point,U108085,金龍公園,15,高
25.07943,121.59544,,Point,U108086,星雲街138巷1弄口,15,高
25.07567,121.6118,,Point,U108087,東湖一號公園,10,低
25.07415,121.61075,,Point,U108088,東湖二號公園,15,高
25.07514,121.60857,,Point,U108089,康湖二號公園(康寧醫院),16,高
25.05892,121.57354,,Point,U108090,堤頂大道新湖一路口,13,高
